AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,821.20000,750.90000,838.70000,1058.99000,1037.41000,1055.35000,1041.49000,1.87000,58.49000,78.75000,977.70000,24.00000,24.00000,0.00000,0.00000,0.00000,0.02000,18.50000,1.89000,0.14000,0.00000,-8.14000,0.00000,0.00000,0.00000
0.00000,821.20000,750.90000,838.70000,1057.26000,1039.18000,1056.81000,1040.39000,1.88000,58.54000,78.77000,977.20000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.00000,18.50000,1.86000,0.13000,0.00000,-2.98000,0.00000,0.00000,0.00000
0.00000,821.20000,750.80000,838.60000,1058.18000,1039.20000,1057.67000,1039.48000,1.87000,58.48000,78.78000,975.90000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.01000,18.50000,1.85000,0.13000,0.00000,-12.14000,-3.90000,0.00000,0.00000
0.00000,821.20000,750.90000,838.70000,1058.75000,1038.53000,1055.95000,1041.28000,1.86000,58.47000,78.82000,974.70000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.02000,18.50000,1.82000,0.13000,0.00000,-10.06000,0.00000,0.00000,0.00000
0.00000,821.20000,751.00000,838.80000,1060.92000,1038.23000,1056.92000,1041.30000,1.87000,58.49000,78.85000,976.70000,24.00000,24.00000,0.00000,0.00000,0.01000,-0.01000,18.50000,1.82000,0.15000,0.00000,-0.66000,0.00000,0.00000,0.00000
0.00000,821.20000,749.70000,837.50000,1060.15000,1039.03000,1057.39000,1041.56000,1.87000,58.52000,78.85000,979.50000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.04000,18.50000,1.88000,0.15000,0.00000,-0.02000,0.00000,0.00000,0.00000
0.00000,821.20000,749.40000,837.20000,1059.20000,1040.50000,1058.04000,1041.16000,1.87000,58.51000,78.88000,977.70000,24.00000,24.00000,0.00000,0.00000,0.01000,0.03000,18.50000,1.86000,0.13000,0.00000,-1.87000,0.00000,0.00000,0.00000
0.00000,821.20000,749.30000,837.10000,1060.72000,1041.47000,1058.34000,1041.09000,1.86000,58.47000,78.92000,975.40000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.02000,18.50000,1.82000,0.14000,0.00000,-1.96000,0.00000,0.00000,0.00000
0.00000,821.20000,749.20000,837.00000,1063.23000,1041.61000,1058.84000,1041.99000,1.85000,58.45000,78.95000,977.20000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.01000,18.50000,1.81000,0.14000,0.00000,-14.12000,0.00000,0.00000,0.00000
0.00000,821.20000,749.00000,836.80000,1064.91000,1041.52000,1059.78000,1042.46000,1.85000,58.49000,78.93000,978.40000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.03000,18.50000,1.81000,0.14000,0.00000,-11.14000,0.00000,0.00000,0.00000
0.00000,821.20000,748.90000,836.70000,1067.12000,1040.89000,1061.87000,1041.27000,1.86000,58.54000,78.98000,980.50000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.02000,18.50000,1.83000,0.15000,0.00000,-0.59000,0.00000,0.00000,0.00000
0.00000,821.20000,749.90000,837.70000,1068.11000,1041.64000,1062.37000,1041.12000,1.87000,58.53000,79.02000,978.80000,24.00000,24.00000,0.00000,0.00000,-0.02000,-0.02000,18.50000,1.80000,0.16000,0.00000,-0.02000,0.00000,0.00000,0.00000
0.00000,821.20000,750.00000,837.80000,1068.50000,1041.97000,1061.05000,1042.57000,1.87000,58.49000,79.02000,979.70000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.01000,18.50000,1.81000,0.16000,0.00000,-1.44000,0.00000,0.00000,0.00000
0.00000,821.20000,750.10000,837.90000,1067.24000,1040.84000,1060.88000,1043.57000,1.86000,58.57000,79.06000,983.40000,24.00000,24.00000,0.00000,0.00000,0.01000,0.01000,18.50000,1.82000,0.16000,0.00000,-15.03000,0.00000,0.00000,0.00000
0.00000,821.20000,750.30000,838.10000,1065.93000,1040.83000,1062.10000,1044.11000,1.86000,58.58000,79.10000,979.40000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.00000,18.50000,1.83000,0.16000,0.00000,-15.97000,0.00000,0.00000,0.00000
0.00000,821.20000,750.40000,838.30000,1065.26000,1042.29000,1063.63000,1045.31000,1.86000,58.53000,79.10000,979.70000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.01000,18.50000,1.85000,0.15000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,821.20000,750.40000,838.30000,1062.51000,1043.26000,1063.93000,1045.24000,1.85000,58.59000,79.13000,982.90000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.02000,18.50000,1.86000,0.15000,0.00000,-15.17000,0.00000,0.00000,0.00000
0.00000,821.20000,750.00000,837.80000,1065.71000,1044.90000,1063.32000,1044.11000,1.87000,58.67000,79.18000,985.30000,24.00000,24.00000,0.00000,0.00000,0.00000,0.03000,18.50000,1.89000,0.16000,0.00000,-15.83000,0.00000,0.00000,0.00000
0.00000,821.20000,750.00000,837.80000,1067.38000,1044.57000,1062.80000,1043.62000,1.88000,58.71000,79.17000,986.50000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.01000,18.50000,1.88000,0.13000,0.00000,-5.29000,0.00000,0.00000,0.00000
0.00000,821.20000,750.20000,838.00000,1068.07000,1044.95000,1061.81000,1044.32000,1.88000,58.63000,79.22000,982.30000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.01000,18.50000,1.88000,0.14000,0.00000,-6.78000,0.00000,0.00000,0.00000
0.00000,821.20000,750.50000,838.30000,1068.37000,1044.92000,1061.99000,1044.46000,1.87000,58.53000,79.21000,978.40000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.02000,18.50000,1.89000,0.14000,0.00000,-2.99000,0.00000,0.00000,0.00000
