AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_MAP,E1_OilP,E1_OilT,E1_RPM,E2_CHT1,E2_EGT1,E2_EGT2,E2_EGT3,E2_EGT4,E2_FFlow,E2_OilP,E2_OilT,E2_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
2.00000,812.80000,751.00000,838.80000,29.84000,275.12000,1030.86000,1054.06000,1117.93000,1032.56000,1.68000,12.12000,50.96000,144.16000,1052.80000,245.37000,964.42000,982.15000,962.40000,1067.83000,2.24000,50.54000,143.94000,1010.90000,47.64000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.78000,-0.21000,0.00000,-12.08000,0.00000,0.00000,0.00000
1.00000,812.80000,750.00000,837.80000,29.84000,275.41000,1030.74000,1054.78000,1124.65000,1032.82000,1.68000,12.21000,50.85000,144.19000,1054.10000,245.70000,966.02000,982.13000,961.60000,1071.45000,2.13000,50.44000,143.91000,1002.80000,47.67000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.78000,-0.21000,0.00000,-15.85000,0.00000,0.00000,0.00000
1.00000,812.80000,750.00000,837.80000,29.84000,275.71000,1030.66000,1052.49000,1129.00000,1034.45000,1.73000,12.23000,50.88000,144.13000,1050.60000,246.03000,967.04000,981.72000,962.62000,1075.06000,2.04000,50.54000,143.88000,1011.50000,47.64000,54.00000,0.00000,0.00000,0.01000,-0.01000,24.20000,0.78000,-0.21000,0.00000,-11.34000,0.00000,0.00000,0.00000
1.00000,812.80000,749.90000,837.70000,29.84000,276.02000,1029.21000,1051.50000,1130.93000,1036.15000,1.75000,12.21000,50.92000,144.18000,1057.60000,246.36000,967.33000,981.92000,962.11000,1075.23000,2.01000,50.55000,143.84000,1006.40000,47.71000,54.00000,0.00000,0.00000,0.01000,-0.00000,24.20000,0.78000,-0.21000,0.00000,-0.63000,0.00000,0.00000,0.00000
1.00000,812.80000,749.80000,837.60000,29.84000,276.29000,1027.56000,1052.74000,1128.34000,1036.15000,1.72000,12.21000,50.93000,144.17000,1057.90000,246.67000,970.93000,981.73000,959.80000,1076.62000,1.99000,50.55000,143.86000,1013.30000,47.77000,54.00000,0.00000,0.00000,-0.01000,-0.00000,24.20000,0.79000,-0.21000,0.00000,-12.26000,0.00000,0.00000,0.00000
0.00000,812.80000,748.60000,836.50000,29.84000,276.59000,1025.10000,1054.35000,1122.32000,1036.71000,1.70000,12.15000,51.04000,144.14000,1063.30000,247.01000,972.92000,981.80000,958.04000,1074.23000,1.99000,50.56000,143.85000,1011.30000,47.80000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.79000,-0.21000,0.00000,-3.74000,0.00000,0.00000,0.00000
0.00000,812.80000,748.20000,836.00000,29.84000,276.87000,1022.74000,1054.70000,1122.45000,1038.08000,1.73000,12.18000,50.89000,144.19000,1054.80000,247.35000,973.95000,981.35000,955.98000,1073.40000,2.02000,50.56000,143.82000,1014.90000,47.85000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.79000,-0.19000,0.00000,-15.08000,0.00000,0.00000,0.00000
0.00000,812.80000,748.90000,836.80000,29.84000,277.13000,1023.70000,1055.13000,1124.14000,1038.23000,1.74000,12.20000,50.95000,144.14000,1058.80000,247.65000,972.39000,979.58000,956.16000,1069.33000,2.04000,50.71000,143.81000,1018.90000,47.83000,54.00000,0.00000,0.00000,0.00000,0.01000,24.20000,0.80000,-0.20000,0.00000,-1.60000,0.00000,0.00000,0.00000
0.00000,812.80000,748.90000,836.70000,29.84000,277.40000,1025.91000,1053.65000,1121.08000,1037.77000,1.70000,12.17000,50.94000,144.11000,1054.20000,247.96000,969.99000,979.05000,957.36000,1065.88000,2.06000,50.71000,143.81000,1021.90000,47.80000,54.00000,0.00000,0.00000,-0.00000,0.00000,24.20000,0.82000,-0.21000,0.00000,-9.10000,0.00000,0.00000,0.00000
0.00000,812.80000,748.80000,836.70000,29.84000,277.74000,1025.77000,1051.53000,1125.11000,1037.92000,1.70000,12.19000,50.96000,144.09000,1059.40000,248.30000,966.95000,978.79000,958.19000,1063.70000,2.09000,50.73000,143.79000,1017.80000,47.84000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.82000,-0.20000,0.00000,-15.70000,0.00000,0.00000,0.00000
0.00000,812.80000,748.70000,836.60000,29.84000,277.98000,1028.74000,1052.94000,1122.87000,1036.76000,1.73000,12.17000,51.02000,144.01000,1062.70000,248.60000,964.24000,976.75000,958.84000,1067.86000,2.06000,50.67000,143.77000,1015.30000,47.89000,54.00000,0.00000,0.00000,0.00000,0.01000,24.20000,0.82000,-0.19000,0.00000,-3.43000,0.00000,0.00000,0.00000
0.00000,812.80000,749.20000,837.00000,29.84000,278.23000,1031.00000,1052.47000,1124.35000,1038.51000,1.74000,12.23000,50.90000,144.02000,1048.70000,248.89000,967.03000,977.74000,958.07000,1068.14000,2.04000,50.58000,143.74000,1009.70000,47.90000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.80000,-0.18000,0.00000,-14.27000,0.00000,0.00000,0.00000
1.00000,812.80000,749.90000,837.70000,29.84000,278.49000,1030.36000,1052.75000,1133.83000,1037.46000,1.70000,12.27000,50.86000,143.96000,1053.10000,249.20000,967.79000,979.70000,958.75000,1068.61000,2.05000,50.69000,143.71000,1022.20000,47.86000,54.00000,0.00000,0.00000,0.00000,-0.00000,24.20000,0.80000,-0.18000,0.00000,-13.02000,0.00000,0.00000,0.00000
1.00000,812.80000,749.30000,837.10000,29.84000,278.79000,1029.05000,1052.51000,1138.39000,1035.04000,1.66000,12.20000,50.90000,143.99000,1059.20000,249.55000,968.82000,979.50000,958.38000,1064.83000,2.04000,50.71000,143.69000,1017.60000,47.90000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.80000,-0.19000,0.00000,-7.96000,0.00000,0.00000,0.00000
1.00000,812.80000,749.20000,837.00000,29.84000,279.01000,1026.52000,1055.84000,1130.98000,1034.71000,1.63000,12.13000,51.10000,143.98000,1065.60000,249.85000,969.67000,977.72000,959.77000,1063.57000,2.04000,50.67000,143.68000,1013.70000,47.89000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.81000,-0.18000,0.00000,-15.61000,0.00000,0.00000,0.00000
1.00000,812.80000,749.30000,837.10000,29.84000,279.31000,1029.42000,1058.90000,1119.04000,1035.04000,1.66000,12.12000,51.06000,143.91000,1064.10000,250.17000,970.19000,977.17000,963.32000,1063.30000,2.02000,50.70000,143.64000,1019.10000,47.86000,54.00000,0.00000,0.00000,0.00000,0.01000,24.20000,0.81000,-0.18000,0.00000,-5.29000,0.00000,0.00000,0.00000
1.00000,812.80000,749.30000,837.20000,29.84000,279.58000,1030.29000,1060.72000,1115.46000,1037.38000,1.70000,12.15000,51.09000,143.89000,1060.20000,250.49000,969.25000,977.87000,963.88000,1060.80000,2.03000,50.74000,143.62000,1018.10000,47.82000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.82000,-0.16000,0.00000,-8.31000,3.90000,0.00000,0.00000
0.00000,812.80000,748.70000,836.50000,29.84000,279.82000,1031.81000,1061.57000,1111.66000,1039.17000,1.73000,12.14000,51.23000,143.92000,1068.40000,250.79000,969.77000,980.90000,965.35000,1057.12000,2.01000,50.73000,143.59000,1019.10000,47.77000,54.00000,0.00000,0.00000,-0.00000,0.00000,24.20000,0.82000,-0.16000,0.00000,-15.65000,3.90000,0.00000,0.00000
0.00000,812.80000,748.20000,836.00000,29.84000,280.09000,1031.67000,1060.04000,1108.60000,1038.74000,1.73000,12.12000,51.06000,143.87000,1057.30000,251.09000,968.37000,980.54000,964.27000,1060.95000,1.99000,50.69000,143.58000,1014.20000,47.84000,54.00000,0.00000,0.00000,-0.00000,0.00000,24.20000,0.83000,-0.16000,0.00000,-15.99000,3.90000,0.00000,0.00000
0.00000,812.80000,748.80000,836.60000,29.84000,280.36000,1033.94000,1058.58000,1114.06000,1038.87000,1.71000,12.17000,51.03000,143.84000,1061.40000,251.41000,965.99000,978.14000,963.90000,1067.23000,2.02000,50.60000,143.59000,1009.60000,47.82000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.85000,-0.15000,0.00000,-7.53000,3.90000,0.00000,0.00000
0.00000,812.80000,748.80000,836.60000,29.84000,280.64000,1036.47000,1057.75000,1112.88000,1037.61000,1.70000,12.14000,50.95000,143.84000,1064.30000,251.71000,974.26000,978.65000,962.96000,1067.58000,2.03000,50.46000,143.57000,1000.20000,47.84000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.85000,-0.16000,0.00000,-2.71000,0.00000,0.00000,0.00000
0.00000,812.80000,748.70000,836.60000,29.84000,280.95000,1036.16000,1057.83000,1108.15000,1039.57000,1.67000,12.13000,51.11000,143.85000,1068.90000,252.04000,976.38000,976.99000,964.39000,1069.32000,2.09000,50.57000,143.53000,1015.10000,47.89000,54.00000,0.00000,0.00000,0.00000,-0.00000,24.20000,0.85000,-0.18000,0.00000,-13.57000,0.00000,0.00000,0.00000
0.00000,812.80000,748.50000,836.40000,29.84000,281.21000,1038.35000,1058.07000,1101.85000,1039.55000,1.68000,12.13000,51.05000,143.78000,1062.10000,252.31000,975.57000,974.63000,963.38000,1067.02000,1.96000,50.62000,143.50000,1009.20000,47.92000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.85000,-0.16000,0.00000,-8.91000,0.00000,0.00000,0.00000
0.00000,812.80000,749.10000,836.90000,29.84000,281.47000,1038.98000,1059.92000,1103.33000,1039.12000,1.71000,12.14000,51.10000,143.79000,1064.30000,252.61000,976.01000,974.89000,960.50000,1075.38000,1.95000,50.56000,143.49000,1010.00000,47.92000,54.00000,0.00000,0.00000,0.00000,-0.01000,24.20000,0.83000,-0.18000,0.00000,-12.72000,3.90000,0.00000,0.00000
1.00000,812.80000,749.50000,837.30000,29.84000,281.64000,1039.52000,1059.11000,1102.09000,1038.34000,1.69000,12.10000,51.11000,143.81000,1069.50000,252.91000,975.09000,973.60000,959.25000,1078.09000,2.00000,50.56000,143.48000,1005.00000,47.97000,54.00000,0.00000,0.00000,0.00000,0.01000,24.20000,0.83000,-0.15000,0.00000,-3.29000,0.00000,0.00000,0.00000
