#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,amp2,BaroA,COM1,COM2,E1 CHT Variance,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpdG,WndDr,WndSpd
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,amps,inch,MHz,MHz,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,deg,mt,mt,kt,G,degrees,degrees,deg,G,deg C,deg,deg,kt,gals,deg,volts,volts,mt,fpm,fpm,deg,kt
1.0,857.0,752.7,840.6,-1.1000000000000227,4.8,0.2,29.97,118.4,123.3,16.180000000000007,195.48,196.1,203.41,211.66,86.6400000000001,1140.88,1064.02,1054.24,1070.46,2.32,57.81,108.41,1046.7,19.55,18.01,0.0,178.4,35.5,14.0,0.0,-0.01,47.9481888,-97.1727371,3.1,0.02,23.8,1.27,0.04,0.0,37.56,268.2,28.2,28.2,18.0,-24.39,0.0,NaN,NaN
1.0,858.0,752.9,840.8,-1.1000000000000227,4.7,0.2,29.97,118.4,124.575,16.189999999999998,196.05,196.65,203.97,212.24,86.30999999999995,1140.99,1063.88,1054.68,1071.57,2.33,57.91,108.41,1050.6,19.55,18.01,0.0,178.4,36.0,14.0,0.0,-0.01,47.9481888,-97.1727371,3.1,0.01,23.8,1.27,0.03,0.0,37.56,268.2,28.2,28.2,18.0,-1.76,3.9,NaN,NaN
1.0,857.0,753.1,840.9,0.5,4.7,0.2,29.97,118.4,124.575,16.189999999999998,196.58,197.21,204.52,212.77,84.82999999999993,1139.24,1064.34,1054.41,1071.85,2.36,57.83,108.41,1049.4,19.55,18.03,0.0,178.4,36.0,14.0,0.0,0.01,47.9481888,-97.1727371,3.1,0.01,23.8,1.27,0.03,0.0,37.58,268.2,28.2,28.2,18.0,-4.56,3.9,NaN,NaN
2.0,859.0,753.2,841.1,0.8999999999999773,4.7,0.2,29.97,118.4,124.575,16.180000000000007,197.1,197.66,204.98,213.28,85.41999999999985,1139.36,1065.49,1053.94,1072.42,2.27,57.9,108.41,1049.5,19.57,18.03,0.0,178.4,36.5,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,-0.02,23.8,1.23,0.0,0.0,37.6,268.2,28.2,28.2,19.0,26.53,3.9,NaN,NaN
1.0,858.0,752.9,840.7,1.5,4.8,0.2,29.97,118.4,124.575,16.120000000000005,197.6,198.16,205.45,213.72,84.59999999999991,1138.57,1066.12,1053.97,1072.84,2.33,57.9,108.41,1053.7,19.57,18.06,0.0,178.4,36.0,15.0,0.0,-0.01,47.9481926,-97.1727371,3.1,0.01,24.0,1.27,0.01,0.0,37.629999999999995,268.2,28.2,28.2,18.0,7.18,0.0,NaN,NaN
1.0,856.0,753.0,840.8,1.6999999999999318,4.7,0.2,29.97,118.4,124.575,16.090000000000003,198.09,198.6,205.98,214.18,84.32999999999993,1138.78,1066.46,1054.45,1072.71,2.28,57.87,108.41,1050.2,19.57,18.08,0.0,178.4,35.5,15.0,0.0,0.0,47.9481926,-97.1727371,3.1,0.0,24.0,1.25,0.1,0.0,37.65,268.2,28.2,28.2,18.0,-23.71,0.0,NaN,NaN
0.0,856.0,751.7,839.5,0.39999999999997726,4.6,0.2,29.97,118.4,124.575,16.059999999999974,198.58,199.05,206.46,214.64,85.02999999999997,1139.7,1065.94,1054.67,1072.15,2.34,57.93,108.42,1053.9,19.57,18.08,0.0,178.4,35.5,14.0,0.0,0.0,47.9481926,-97.1727295,3.1,-0.01,24.0,1.25,0.07,0.0,37.65,268.2,28.2,28.2,18.0,-39.25,0.0,NaN,NaN
0.0,857.0,751.6,839.4,0.2999999999999545,4.6,0.2,29.97,118.4,124.575,16.049999999999983,199.05,199.51,206.89,215.1,83.65999999999985,1138.62,1065.3,1054.96,1071.72,2.31,57.7,108.42,1045.0,19.57,18.06,0.0,178.5,35.5,15.0,0.0,0.0,47.9481926,-97.1727295,3.1,0.01,24.0,1.27,0.08,0.0,37.629999999999995,268.2,28.2,28.2,18.0,-18.83,0.0,NaN,NaN
0.0,857.0,751.3,839.1,-0.6999999999999318,4.6,0.2,29.97,118.4,119.4,16.049999999999983,199.52,199.97,207.36,215.57,84.81999999999994,1139.87,1066.2,1055.05,1071.9,2.34,57.64,108.42,1043.8,19.55,18.06,0.0,178.5,36.0,15.0,0.0,0.0,47.9481926,-97.1727295,3.1,-0.0,24.0,1.24,0.07,0.0,37.61,268.2,28.2,28.2,18.0,11.06,0.0,NaN,NaN
0.0,857.0,751.1,838.9,-0.8000000000000682,4.6,0.2,29.97,118.4,119.4,16.060000000000002,199.97,200.44,207.86,216.03,87.21000000000004,1141.43,1067.07,1054.22,1071.25,2.33,57.76,108.43,1046.7,19.55,18.06,0.0,178.4,36.0,15.0,0.0,-0.0,47.9481964,-97.1727295,3.1,-0.0,24.0,1.24,-0.02,0.0,37.61,268.2,28.2,28.2,19.0,15.82,0.0,NaN,NaN
