#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
2.0,822.6,750.6,838.4,-1.0,6.2,30.04,120.55,119.4,266.0,1102.42,1086.01,1107.82,1103.7,2.4,55.88,140.09,1111.8,21.52,18.81,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.28,1.0,0.0,40.33,266.8,28.0,18.0,-0.83,0.0,NaN,NaN,NaN,NaN
2.0,821.6,750.6,838.5,-1.0,6.1,30.04,120.55,119.4,266.0,1099.85,1087.82,1107.61,1103.56,2.4,55.85,140.07,1115.2,21.53,18.8,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,-0.0,28.5,3.28,1.0,0.0,40.33,266.8,28.0,18.0,-9.12,0.0,NaN,NaN,NaN,NaN
2.0,821.6,751.2,839.0,0.10000000000002274,6.1,30.04,120.55,119.4,266.0,1101.25,1088.78,1105.85,1103.15,2.41,55.95,140.04,1115.1,21.5,18.75,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.32,1.02,0.0,40.25,266.8,28.0,18.0,-15.72,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.7,838.6,-0.10000000000002274,6.1,30.04,120.55,119.4,266.0,1103.38,1089.28,1105.05,1103.67,2.42,55.96,139.99,1114.6,21.53,18.75,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.31,1.01,0.0,40.28,266.8,28.0,18.0,-11.2,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.7,838.5,-0.10000000000002274,6.2,30.04,120.55,119.4,266.0,1105.13,1089.76,1105.32,1104.62,2.4,55.87,140.01,1115.7,21.56,18.83,0.0,3704.0,NaN,356.6,18.5,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,-0.05,28.5,3.28,0.99,0.0,40.39,266.8,28.0,18.0,-0.59,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.7,838.6,0.20000000000004547,6.3,30.04,120.55,119.4,266.0,1104.63,1090.15,1105.44,1105.46,2.4,55.98,139.96,1119.2,21.54,18.9,0.0,3704.0,NaN,356.6,18.5,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,0.02,28.5,3.32,1.0,0.0,40.44,266.8,28.0,18.0,-0.02,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.8,838.6,0.8000000000000682,6.1,30.04,120.55,119.4,266.0,1102.41,1090.53,1104.01,1105.26,2.4,56.14,139.94,1126.0,21.53,18.86,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.27,1.0,0.0,40.39,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.9,838.7,0.5,6.1,30.04,120.55,119.4,266.0,1105.23,1091.69,1102.23,1104.18,2.4,56.06,139.94,1124.3,21.53,18.86,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.3,0.98,0.0,40.39,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.0,838.8,0.39999999999997726,6.1,30.04,120.55,119.4,266.0,1108.79,1091.19,1105.02,1104.02,2.4,56.15,139.92,1123.4,21.54,18.81,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.01,47.9479523,-97.1724472,3.1,109.1,-0.02,28.5,3.28,0.99,0.0,40.349999999999994,266.8,28.0,18.0,-1.58,0.0,NaN,NaN,NaN,NaN
3.0,822.6,751.6,839.5,1.1000000000000227,6.1,30.04,120.55,119.4,266.0,1109.1,1090.31,1107.84,1104.6,2.37,56.18,139.86,1126.2,21.53,18.8,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.02,47.9479561,-97.1724548,3.1,109.1,-0.0,28.5,3.28,1.0,0.0,40.33,266.8,28.0,18.0,-0.06,-3.9,NaN,NaN,NaN,NaN
