Date,Open,High,Low,Close,Adj Close,Volume
6/8/01,127.699997,127.870003,126.139999,127,86.272621,8170600
6/11/01,126.709999,126.989998,125.410004,126.099998,85.661209,7012200
6/12/01,124.860001,126.739998,124.040001,125.879997,85.51181,9364400
6/13/01,126.169998,126.580002,124.650002,124.800003,84.778122,7629400
6/14/01,124.18,124.300003,121.75,122,82.876083,12603000
6/15/01,120.910004,122.400002,120.400002,121.849998,83.009575,16821100
6/18/01,121.650002,122.440002,120.910004,121.260002,82.607635,11368300
6/19/01,122.379997,122.889999,120.889999,121.790001,82.968704,7732300
6/20/01,121.190002,122.860001,121.099998,122.43,83.404701,8787200
6/21/01,122.220001,124.309998,122.150002,123.82,84.351631,12259100
6/22/01,123.489998,123.589996,122.160004,122.849998,83.690804,12212000
6/25/01,123.279999,123.440002,121.5,121.720001,82.921021,8406800
6/26/01,120.900002,122.389999,120.57,121.550003,82.805199,8005800
6/27/01,121.599998,122.239998,120.910004,121.480003,82.757538,10105100
6/28/01,122,123.940002,121.93,122.150002,83.213997,10269300
6/29/01,122.800003,124.010002,122.260002,122.599998,83.520508,9824200
7/2/01,122.800003,124.32,122.620003,124.129997,84.562836,8522200
7/3/01,123.980003,124.099998,123.050003,124.099998,84.542358,3303100
7/5/01,123.07,123.650002,121.660004,121.68,82.893799,5517900
7/6/01,121.309998,121.489998,119.050003,119.050003,81.102104,11665900
7/9/01,119.489998,120.540001,119.199997,119.699997,81.544907,8339300
7/10/01,120.290001,120.639999,118.209999,118.260002,80.563942,8630700
7/11/01,118.099998,118.889999,117.089996,118.379997,80.645683,15328600
7/12/01,119.5,121.470001,119.309998,121.190002,82.559967,12002800
7/13/01,120.839996,122.32,120.620003,122.239998,83.275246,10433800
7/16/01,121.769997,122.279999,120.290001,120.709999,82.232948,6915300
7/17/01,120.199997,121.949997,119.830002,121.839996,83.002808,7469800
7/18/01,120.559998,121.639999,120.059998,121.010002,82.437355,7709300
7/19/01,122.18,122.980003,120.760002,122.07,83.159447,10082900
7/20/01,121.150002,121.940002,120.919998,121.339996,82.662178,6705800
7/23/01,121.800003,121.879997,118.949997,118.949997,81.033958,8065200
7/24/01,119,119.199997,116.75,117.800003,80.250504,12269000
7/25/01,117.919998,119.480003,117.459999,119.099998,81.136154,12088500
7/26/01,119.059998,120.849998,118.559998,120.349998,81.987717,12898200
7/27/01,120.830002,121.349998,119.910004,120.809998,82.301109,8478800
7/30/01,121.190002,121.349998,120.300003,120.849998,82.328331,8547700
7/31/01,121,122.68,120.800003,121.349998,82.668938,11918100
8/1/01,121.970001,122.699997,121.550003,122.110001,83.186714,11940800
8/2/01,123.230003,123.25,121.889999,122.610001,83.527306,11070100
8/3/01,122.360001,122.360001,120.900002,121.940002,83.070892,10816300
8/6/01,121.349998,121.510002,120.099998,120.300003,81.953682,8550100
8/7/01,120.269997,121.199997,119.910004,120.769997,82.273842,8865100
8/8/01,120.120003,121.160004,118.43,118.529999,80.747894,15183800
8/9/01,118.699997,118.970001,117.860001,118.879997,80.986252,14118500
8/10/01,118.800003,119.839996,117.339996,119.290001,81.265564,11173300
8/13/01,119.599998,119.849998,118.809998,119.32,81.286034,7431600
8/14/01,120.139999,120.349998,118.800003,119.269997,81.251961,13178100
8/15/01,119.230003,119.610001,118.080002,118.239998,80.550278,8520600
8/16/01,117.800003,118.75,117,118.650002,80.829567,10734700
8/17/01,117.650002,117.870003,116.010002,116.75,79.53524,11604600
