AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
0.0,166.6,166.69,168.16,181.25,1073.53,1061.84,1049.84,1005.5,63.44,86.83,1011.2,20.4,22.17,0.0,0.0,0.01,0.02,31.2,1.85,0.48,0.0,27.9,27.9,-2.07,0.0
0.0,167.35,167.37,168.86,181.93,1073.06,1062.56,1050.34,1006.87,63.46,86.86,1013.0,20.4,22.17,0.0,0.0,-0.01,0.01,31.2,1.8,0.49,0.0,28.0,28.0,12.49,3.9
0.0,168.16,168.06,169.62,182.73,1073.78,1063.43,1049.16,1007.03,63.37,86.89,1010.3,20.35,22.13,0.0,0.0,-0.0,0.01,31.2,1.78,0.47,0.0,28.0,28.0,0.21,-3.9
0.0,169.11,168.93,170.52,183.6,1076.71,1065.11,1049.41,1007.74,63.11,86.92,1001.3,20.32,22.13,0.0,0.0,-0.0,-0.01,31.2,1.86,0.54,0.0,27.9,27.9,-15.59,0.0
0.0,169.92,169.69,171.31,184.42,1079.82,1065.51,1050.77,1007.71,63.32,86.95,1009.1,20.32,22.13,0.0,0.0,-0.01,0.03,31.5,1.87,0.47,0.0,27.9,27.9,-2.61,0.0
0.0,170.79,170.32,172.09,185.17,1079.35,1064.7,1052.39,1007.06,63.35,86.99,1008.4,20.32,22.13,0.0,0.0,-0.02,-0.0,31.5,1.81,0.43,0.0,28.0,27.9,-23.17,0.0
0.0,170.83,170.38,172.1,185.21,1077.26,1062.93,1051.36,1007.01,63.4,87.01,1011.5,20.3,22.13,0.0,0.0,-0.0,0.01,31.5,1.86,0.48,0.0,28.0,28.0,-13.3,0.0
0.0,171.55,171.04,172.8,185.85,1075.78,1062.44,1050.37,1008.65,63.25,87.05,1006.7,20.3,22.11,0.0,0.0,0.0,0.03,31.5,1.85,0.55,0.0,28.0,28.0,-26.57,0.0
0.0,172.5,171.85,173.69,186.74,1075.43,1062.57,1052.93,1010.53,63.29,87.08,1006.4,20.25,22.11,0.0,0.0,-0.02,-0.0,31.5,1.81,0.47,0.0,28.0,28.0,-9.87,3.9
0.0,173.41,172.64,174.51,187.62,1074.87,1062.73,1054.43,1011.66,63.34,87.11,1009.4,20.27,22.13,0.0,0.0,0.0,0.0,31.5,1.85,0.52,0.0,27.9,27.9,-4.29,3.9
0.0,174.96,174.04,176.0,189.02,1073.29,1064.63,1053.01,1012.56,63.43,87.17,1013.5,20.27,22.15,0.0,0.0,-0.01,0.03,31.5,1.88,0.48,0.0,28.0,28.0,19.66,3.9
0.0,175.76,174.87,176.78,189.77,1073.29,1064.13,1052.88,1011.84,63.55,87.21,1018.3,20.27,22.21,0.0,0.0,-0.01,0.01,31.5,1.85,0.48,0.0,28.0,28.0,1.3,3.9
0.0,176.7,175.57,177.65,190.6,1072.88,1063.56,1053.88,1011.24,63.5,87.24,1018.5,20.3,22.21,0.0,0.0,-0.0,-0.02,31.5,1.85,0.52,0.0,28.0,27.9,-4.55,7.9
0.0,177.4,176.17,178.29,191.24,1074.03,1062.78,1054.92,1011.08,63.37,87.27,1013.4,20.3,22.26,0.0,0.0,0.0,0.02,31.5,1.88,0.52,0.0,27.9,27.9,2.22,3.9
0.0,178.32,176.98,179.18,192.1,1076.56,1062.77,1055.19,1011.71,63.5,87.3,1016.1,20.35,22.3,0.0,0.0,-0.01,0.01,31.5,1.82,0.45,0.0,28.0,28.0,17.9,3.9
0.0,179.11,177.69,179.95,192.85,1077.5,1062.28,1054.5,1011.86,63.51,87.34,1021.0,20.35,22.3,0.0,0.0,0.0,0.02,31.5,1.87,0.49,0.0,28.0,27.9,-2.3,0.0
0.0,179.94,178.4,180.69,193.57,1078.46,1063.89,1054.68,1013.02,63.45,87.37,1018.3,20.35,22.3,0.0,0.0,-0.01,0.01,31.5,1.87,0.51,0.0,27.9,27.9,-15.26,0.0
0.0,180.73,179.09,181.43,194.3,1079.44,1064.92,1054.84,1014.58,63.57,87.4,1022.2,20.35,22.32,0.0,0.0,-0.01,-0.0,31.5,1.87,0.49,0.0,28.0,27.9,-16.89,0.0
