Date,Open,High,Low,Close,Adj Close,Volume
42118,0.048006775,0.049807759,0.063544684,0.050665731,0.047563932,0.01481412
42121,0.051707748,0.050052427,0.065184776,0.048913804,0.046195771,0.023289314
42122,0.049205168,0.047780489,0.061136887,0.049474407,0.046633596,0.017867785
42123,0.04941667,0.046592106,0.063195734,0.048248063,0.045675851,0.022664738
42124,0.047865783,0.04498428,0.059252527,0.044078468,0.042419661,0.026805504
42125,0.046279667,0.04582314,0.062218665,0.047337054,0.044964415,0.013776266
42128,0.048782219,0.046382398,0.064103025,0.048107906,0.045566428,0.0113718
42129,0.048077258,0.045473617,0.061067107,0.045129635,0.043240574,0.022337976
42130,0.046279667,0.044005605,0.058868701,0.043973357,0.042337594,0.019685276
42131,0.043882852,0.044459982,0.059741088,0.045690265,0.043678506,0.014264081
42132,0.049310933,0.050297096,0.065080094,0.052032233,0.048631101,0.017947645
42135,0.05227169,0.050262162,0.067069136,0.050490528,0.047427153,0.011925832
42136,0.050720802,0.048130039,0.064521753,0.048528378,0.04589483,0.015932832
42137,0.050015867,0.048409641,0.065184776,0.048808693,0.046113703,0.012351422
42138,0.051038041,0.050996168,0.066859745,0.053293622,0.049616096,0.011110923
42139,0.054598022,0.052569034,0.069372224,0.054940438,0.050902216,0.013005945
42142,0.055972662,0.05962949,0.071640437,0.058864738,0.053966783,0.027833708
42143,0.060519562,0.058860551,0.074920621,0.060756823,0.055444342,0.018664726
42144,0.063198334,0.060118854,0.075095083,0.059495433,0.054459347,0.01674275
42145,0.057876018,0.055994421,0.071710216,0.055360884,0.053274175,0.015841325
42146,0.055620168,0.052883623,0.06818579,0.051611761,0.050325043,0.013648489
42150,0.051954477,0.049877679,0.065568629,0.049754722,0.048864168,0.019312927
42151,0.051179033,0.049388342,0.066336334,0.050840908,0.049718581,0.023901577
42152,0.051179033,0.05040195,0.06637121,0.050911,0.049773769,0.011929825
42153,0.053082389,0.050122347,0.062951467,0.0473721,0.046989963,0.026097408
42156,0.048605972,0.046557146,0.062567614,0.04702172,0.046714366,0.017247202
42157,0.047337068,0.045298843,0.060404084,0.046811497,0.046549013,0.020622306
42158,0.048746964,0.045962954,0.062986343,0.047196896,0.046852257,0.010848714
42159,0.047407578,0.046102769,0.060264499,0.044183606,0.044481888,0.019775452
42160,0.044059072,0.041139476,0.057263485,0.041941115,0.042717795,0.018109696
42163,0.042684431,0.040894807,0.056426001,0.039733696,0.040981322,0.016436951
42164,0.042120489,0.039356875,0.055867687,0.04060966,0.041670408,0.019064694
42165,0.042261481,0.042887116,0.057263485,0.042957236,0.043517125,0.02632135
42166,0.044799261,0.043760937,0.059461918,0.044218626,0.04450927,0.01351073
42167,0.04367135,0.041768628,0.056984341,0.041100197,0.042056276,0.021969286
42170,0.03968842,0.037015043,0.05311094,0.03808688,0.039685959,0.015701237
42171,0.038807238,0.0391821,0.053424986,0.041135243,0.04208387,0.013092461
42172,0.041908987,0.041384144,0.057089024,0.042431679,0.043103689,0.013446176
42173,0.043600868,0.046382398,0.059043162,0.048142952,0.047596293,0.02229738
42174,0.047196076,0.045159028,0.062776979,0.046391025,0.046218174,0.031740217
42177,0.049733883,0.047396006,0.063509781,0.047196896,0.046852257,0.009786237
42178,0.04797152,0.045718286,0.06173013,0.04611071,0.045997712,0.013082811
42179,0.045891945,0.04379587,0.060299402,0.044533986,0.044757458,0.017102788
42180,0.04585669,0.044390088,0.060438987,0.04379818,0.044178564,0.014861371
42181,0.04560996,0.044914359,0.060927522,0.045620173,0.045611818,0.02304707
42184,0.044023844,0.042188044,0.055239567,0.038752621,0.040209613,0.030067472
42185,0.042085234,0.039042286,0.054122912,0.037981769,0.03960323,0.022803496
42186,0.04162703,0.039846212,0.055309346,0.041520669,0.042386956,0.015345857
42187,0.043565613,0.041034595,0.057682241,0.041415558,0.042304412,0.013233548
42191,0.039547427,0.03921706,0.051819797,0.040574614,0.041642894,0.015648995
42192,0.042790169,0.040894807,0.054890591,0.043097393,0.043627448,0.016663223
42193,0.04204998,0.039531623,0.055483834,0.039067955,0.040457642,0.015741167
42194,0.044270574,0.042852156,0.057961411,0.041275401,0.042194088,0.017308096
42195,0.046843609,0.044075499,0.060369182,0.045234747,0.045308679,0.016153114
42198,0.0477953,0.046137729,0.063091052,0.047827591,0.047348264,0.016209682
42199,0.045010763,0.044040539,0.058484849,0.04611071,0.045997712,0.025873798
42200,0.046773126,0.047745555,0.062253541,0.048353175,0.047761752,0.019550512
42201,0.050967531,0.049213567,0.066266528,0.050770843,0.049663498,0.012179057
42202,0.050756057,0.047640701,0.063405099,0.047161877,0.04682461,0.01976314
42205,0.049381416,0.04673192,0.063893634,0.048177998,0.047623887,0.009654134
42206,0.049733883,0.047291152,0.063788951,0.04807286,0.047541211,0.012567045
42207,0.049064203,0.046941629,0.062602517,0.047512257,0.047100181,0.015329885
42208,0.049381416,0.046557146,0.063544684,0.047582322,0.047155369,0.009653801
42209,0.046737871,0.044285208,0.060229623,0.043903291,0.044261346,0.014672035
42212,0.04398859,0.040929741,0.056286416,0.040854928,0.041863356,0.022025189
42213,0.043706605,0.041768628,0.05803119,0.043447773,0.043902966,0.018775865
42214,0.045010763,0.044634757,0.060229623,0.045935533,0.045859953,0.019095307
42215,0.046914118,0.044459982,0.061381154,0.046320933,0.046163118,0.011321887
42216,0.048817446,0.04788537,0.063405099,0.047617369,0.047182937,0.013649155
42219,0.047619053,0.045193988,0.060857743,0.046951628,0.046659204,0.013501746
42220,0.049064203,0.046207623,0.062323347,0.046180802,0.046052795,0.012945384
42221,0.049628145,0.047955264,0.064766021,0.048703555,0.048037323,0.008173721
42222,0.049346161,0.046557146,0.060090038,0.043622977,0.044040752,0.016215338
42223,0.04416481,0.04120937,0.057123927,0.042852124,0.043434448,0.013020586
42226,0.04610342,0.044669691,0.061625421,0.046145756,0.04602528,0.013371972
42227,0.044270574,0.042153084,0.059252527,0.043412754,0.043875372,0.015199114
42228,0.041979497,0.040020987,0.054506765,0.042361587,0.043048501,0.017793914
42229,0.043177891,0.040894807,0.057089024,0.041555715,0.042414603,0.009759949
