Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
50,500,6341,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
51,510,6342,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
52,520,6342,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
53,530,6344,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
54,540,6345,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
55,550,6346,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
56,560,6347,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
57,570,6348,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
58,580,6349,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
59,590,6350,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
60,600,6352,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
61,610,6353,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
62,620,6354,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
63,630,6355,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
64,640,6357,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
65,650,6358,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
66,660,6359,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
67,670,6360,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
68,680,6361,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
69,690,6363,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
70,700,6364,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
71,710,6366,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
72,720,6367,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
73,730,6368,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
74,740,6370,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
75,750,6371,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
76,760,6373,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
77,770,6374,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
78,780,6375,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
79,790,6377,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
80,800,6378,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
81,810,6380,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
82,820,6381,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
83,830,6383,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
84,840,6384,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
85,850,6385,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
86,860,6387,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
87,870,6388,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
88,880,6390,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
89,890,6391,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
90,900,6393,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
91,910,6395,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
92,920,6396,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
93,930,6398,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
94,940,6400,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
95,950,6401,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
96,960,6403,1e+07,1e+07,13,12,0,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07,1e+07
