AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
4.0,121.31,112.85,128.24,115.96,1033.55,1050.68,1033.61,1042.04,57.16,96.45,971.4,21.62,21.0,0.0,0.0,-0.0,0.0,17.0,2.2,0.47,0.0,28.0,28.0,-15.38,0.0
4.0,122.04,113.67,129.04,116.83,1035.11,1049.72,1033.75,1042.74,57.25,96.42,974.9,21.62,21.03,0.0,0.0,-0.01,-0.0,17.0,2.2,0.43,0.0,28.0,28.0,-29.44,0.0
4.0,122.36,113.69,129.06,116.91,1036.25,1047.32,1034.13,1040.73,57.23,96.39,974.6,21.62,21.03,0.0,0.0,-0.01,0.01,17.0,2.21,0.46,0.0,28.0,28.0,-17.77,0.0
2.0,123.14,114.48,129.79,117.76,1037.37,1045.8,1034.29,1040.64,57.17,96.36,973.0,21.62,21.03,0.0,0.0,-0.02,-0.0,17.0,2.19,0.46,0.0,28.0,28.0,-10.94,0.0
2.0,124.02,115.25,130.57,118.63,1039.48,1045.79,1033.63,1039.27,57.28,96.33,977.9,21.62,21.03,0.0,0.0,-0.01,-0.01,17.0,2.16,0.47,0.0,28.0,28.0,2.95,0.0
1.0,124.92,115.97,131.37,119.48,1039.43,1045.6,1033.87,1038.35,57.3,96.31,979.9,21.62,21.03,0.0,0.0,0.0,0.01,17.0,2.21,0.47,0.0,28.0,28.0,16.72,0.0
1.0,125.84,116.89,132.29,120.41,1038.76,1045.71,1035.14,1037.29,57.27,96.28,979.2,21.55,21.03,0.0,0.0,-0.01,-0.0,17.0,2.18,0.45,0.0,28.0,28.0,11.17,0.0
1.0,126.67,117.54,132.98,121.19,1038.76,1047.44,1035.18,1037.42,57.22,96.25,975.8,21.55,21.03,0.0,0.0,0.0,0.0,17.0,2.18,0.46,0.0,28.0,28.0,-12.5,0.0
1.0,127.52,118.3,133.76,122.05,1038.8,1048.15,1035.24,1035.63,57.35,96.22,981.9,21.55,21.03,0.0,0.0,0.01,0.0,17.0,2.21,0.44,0.0,28.0,28.0,-15.88,0.0
2.0,128.39,119.11,134.54,122.94,1038.92,1048.02,1034.11,1033.74,57.29,96.19,979.4,21.55,21.03,0.0,0.0,-0.01,-0.0,17.0,2.2,0.42,0.0,28.0,28.0,-2.95,0.0
2.0,129.34,119.98,135.49,123.78,1041.01,1047.09,1034.08,1033.62,57.3,96.16,980.4,21.55,21.03,0.0,0.0,-0.02,0.01,17.0,2.21,0.44,0.0,28.0,28.0,2.91,-3.9
2.0,130.2,120.81,136.27,124.71,1043.42,1044.79,1036.26,1033.02,57.24,96.14,977.2,21.55,21.0,0.0,0.0,-0.0,0.0,17.0,2.21,0.43,0.0,28.0,28.0,2.27,-3.9
2.0,131.03,121.56,137.04,125.6,1044.31,1044.56,1036.81,1032.77,57.27,96.11,980.7,21.55,21.0,0.0,0.0,-0.01,0.01,17.0,2.21,0.43,0.0,28.0,28.0,10.06,-3.9
2.0,131.88,122.37,137.8,126.42,1044.44,1047.46,1036.67,1032.32,57.27,96.08,977.7,21.55,20.97,0.0,0.0,-0.0,0.01,17.0,2.2,0.44,0.0,28.0,28.0,1.92,-3.9
1.0,132.73,123.17,138.58,127.24,1043.82,1048.87,1038.69,1030.29,57.25,96.05,978.5,21.62,20.97,0.0,0.0,-0.01,0.01,17.0,2.21,0.41,0.0,28.0,28.0,-0.62,-3.9
0.0,133.53,123.89,139.38,127.99,1044.95,1048.8,1040.29,1029.2,57.22,96.03,975.4,21.62,20.95,0.0,0.0,-0.01,-0.0,17.0,2.19,0.4,0.0,28.0,28.0,-0.03,0.0
0.0,134.37,124.66,140.14,128.93,1044.31,1048.35,1040.39,1028.94,57.12,96.0,971.6,21.62,20.95,0.0,0.0,-0.01,-0.0,17.0,2.15,0.42,0.0,28.0,28.0,13.04,-3.9
0.0,135.18,125.43,140.91,129.75,1043.34,1049.7,1040.29,1029.46,57.17,95.97,973.4,21.62,20.95,0.0,0.0,-0.01,0.0,17.0,2.19,0.43,0.0,28.0,28.0,12.27,-3.9
0.0,136.0,126.17,141.67,130.56,1043.57,1049.39,1040.79,1030.34,57.19,95.95,973.7,21.62,20.95,0.0,0.0,-0.0,-0.0,17.0,2.16,0.43,0.0,28.0,28.0,0.7,-3.9
